Sl.No,Assessment Date,Person ID,Verbal,Thinking,Programming,CD,CDP,Coding1,Coding2,RP Score
616,2020-08-16,47973,6,2,4,12,30,0,0,0
617,2020-08-23,48011,7,1,6,14,35,0,0,0
618,2020-08-23,48046,7,7,11,25,62.5,100,100,22.5
619,2020-08-23,48043,4,3,5,12,30,0,0,0
620,2020-08-23,48014,7,8,8,23,57.5,0,0,37.5
621,2020-08-23,48039,6,3,3,12,30,0,0,0
622,2020-08-23,48049,8,7,6,21,52.5,0,0,0
623,2020-08-23,48032,6,4,10,20,50,0,0,0
624,2020-08-23,48024,7,0,7,14,35,0,0,0
625,2020-08-23,48050,6,2,9,17,42.5,0,0,0
626,2020-08-23,48040,6,3,5,14,35,0,0,0
627,2020-08-23,48015,7,3,9,19,47.5,0,0,0
628,2020-08-23,48023,7,3,5,15,37.5,60,60,0
629,2020-08-23,47977,7,0,10,17,42.5,0,0,0
630,2020-08-23,48026,8,5,12,25,62.5,100,100,50
631,2020-08-23,48008,7,3,4,14,35,0,0,0
632,2020-08-23,48041,5,3,12,20,50,0,0,0
633,2020-08-23,48012,9,3,6,18,45,0,0,0
634,2020-08-23,48013,4,2,6,12,30,0,0,22.5
635,2020-08-23,48045,7,6,10,23,57.5,0,0,0
636,2020-08-23,48047,7,7,12,26,65,100,100,87.5
637,2020-08-23,48044,7,2,9,18,45,60,60,0
638,2020-08-23,48051,4,3,8,15,37.5,0,0,22.5
639,2020-08-23,48048,6,4,5,15,37.5,0,0,0
640,2020-08-23,48033,6,3,8,17,42.5,0,0,0
641,2020-08-23,48035,8,10,14,32,80,0,0,0
642,2020-08-23,48021,7,4,7,18,45,0,0,0
643,2020-08-23,48029,7,4,7,18,45,100,100,0
644,2020-08-23,48027,7,3,11,21,52.5,0,0,0
645,2020-08-23,48030,5,2,9,16,40,0,0,0
646,2020-08-23,47976,7,4,11,22,55,100,100,92.5
647,2020-08-23,48010,9,3,11,23,57.5,100,100,85
648,2020-08-23,48025,7,6,9,22,55,0,0,0
649,2020-08-23,48052,7,4,11,22,55,0,0,0
650,2020-08-23,48009,6,2,11,19,47.5,80,80,35
651,2020-08-23,48038,4,4,8,16,40,0,0,0
652,2020-08-23,48020,5,2,6,13,32.5,40,40,0
653,2020-08-23,48019,7,5,7,19,47.5,0,0,0
654,2020-08-23,48053,4,3,5,12,30,100,100,0
655,2020-08-23,48016,6,5,6,17,42.5,0,0,0
656,2020-08-23,,6,1,0,7,17.5,0,0,0
657,2020-09-06,47390,4,4,7,15,37.5,80,80,40
658,2020-09-06,47650,3,3,5,11,27.5,20,20,0
659,2020-09-06,47914,7,3,14,24,60,0,0,0
660,2020-09-06,48016,3,3,3,9,22.5,0,0,30
661,2020-09-06,48067,7,3,7,17,42.5,0,0,0
662,2020-09-06,48124,3,4,10,17,42.5,0,0,0
663,2020-09-06,48162,5,3,6,14,35,0,0,0
664,2020-09-06,48200,7,7,9,23,57.5,0,0,0
665,2020-09-06,48205,5,0,8,13,32.5,0,0,20
666,2020-09-06,48208,4,0,4,8,20,0,0,0
667,2020-09-06,48341,6,2,13,21,52.5,100,100,0
668,2020-09-06,48342,3,2,3,8,20,0,0,0
669,2020-09-06,48344,4,2,7,13,32.5,0,0,0
670,2020-09-06,48347,4,1,6,11,27.5,0,0,0
671,2020-09-06,48349,5,3,6,14,35,0,0,0
672,2020-09-06,48351,5,2,1,8,20,0,0,0
673,2020-09-06,48354,4,2,7,13,32.5,0,0,0
674,2020-09-06,48355,2,3,9,14,35,0,0,0
675,2020-09-06,48356,5,3,7,15,37.5,0,0,0
676,2020-09-06,48357,5,2,8,15,37.5,0,0,0
677,2020-09-06,48359,5,0,6,11,27.5,0,0,0
678,2020-09-06,48360,5,5,6,16,40,100,100,100
679,2020-09-06,48361,6,1,8,15,37.5,0,0,0
680,2020-09-06,48362,4,1,6,11,27.5,0,0,0
681,2020-09-06,48363,3,4,5,12,30,0,0,0
682,2020-09-06,48364,6,3,4,13,32.5,0,0,0
683,2020-09-06,48365,6,2,6,14,35,0,0,0
684,2020-09-06,48370,4,1,5,10,25,0,0,0
685,2020-09-06,48371,9,3,13,25,62.5,80,80,0
686,2020-09-06,48372,6,3,3,12,30,0,0,10
687,2020-09-06,48374,5,4,14,23,57.5,0,0,0
688,2020-09-06,48375,5,9,11,25,62.5,20,20,0
689,2020-09-06,48376,4,1,6,11,27.5,0,0,0
690,2020-09-06,48378,4,3,13,20,50,100,100,100
691,2020-09-06,48380,7,5,3,15,37.5,0,0,0
692,2020-09-06,48381,3,3,3,9,22.5,0,0,0
693,2020-09-06,48382,5,3,5,13,32.5,0,0,0
694,2020-09-06,48383,6,2,9,17,42.5,0,0,0
695,2020-09-06,48385,4,5,7,16,40,80,80,100
696,2020-09-06,48386,5,1,2,8,20,0,0,0
697,2020-09-06,48387,6,2,5,13,32.5,0,0,0
698,2020-09-06,48388,4,2,3,9,22.5,0,0,0
699,2020-09-06,48390,4,1,9,14,35,0,0,30
700,2020-09-06,48391,4,1,7,12,30,0,0,0
701,2020-09-06,48395,3,2,6,11,27.5,0,0,0
702,2020-09-06,48396,4,0,6,10,25,0,0,0
703,2020-09-06,48397,3,5,5,13,32.5,0,0,0
704,2020-09-06,48398,2,2,9,13,32.5,0,0,30
705,2020-09-06,48401,6,2,6,14,35,0,0,0
706,2020-09-06,48403,2,1,7,10,25,0,0,0
707,2020-09-06,48405,8,1,8,17,42.5,0,0,0
708,2020-09-06,48406,7,4,11,22,55,0,0,0
709,2020-09-06,48407,4,2,6,12,30,0,0,0
710,2020-09-06,48408,0,0,0,0,0,0,0,0
711,2020-09-06,48409,7,2,7,16,40,0,0,0
712,2020-09-06,48410,4,2,7,13,32.5,0,0,0
713,2020-09-06,48412,7,0,7,14,35,0,0,0
714,2020-09-06,48413,3,0,5,8,20,0,0,0
715,2020-09-06,48414,3,2,5,10,25,0,0,0
716,2020-09-06,48416,4,2,3,9,22.5,0,0,0
717,2020-09-06,48417,6,3,6,15,37.5,0,0,0
718,2020-09-06,48418,7,2,15,24,60,100,100,100
719,2020-09-06,48419,4,5,13,22,55,80,80,0
720,2020-09-06,48420,3,2,9,14,35,0,0,0
721,2020-09-06,48421,6,3,11,20,50,100,100,10
722,2020-09-06,48422,5,2,5,12,30,0,0,0
723,2020-09-06,48423,4,3,2,9,22.5,0,0,0
724,2020-09-06,48425,5,4,5,14,35,0,0,0
725,2020-09-06,48426,7,4,3,14,35,80,80,100
726,2020-09-06,48427,6,4,9,19,47.5,0,0,0
727,2020-09-06,48429,1,1,5,7,17.5,0,0,0
728,2020-09-06,48430,5,3,3,11,27.5,0,0,0
729,2020-09-06,48431,7,4,6,17,42.5,0,0,0
730,2020-09-06,48432,4,4,7,15,37.5,0,0,0
731,2020-09-06,48433,4,4,9,17,42.5,0,0,30
732,2020-09-06,48434,2,2,9,13,32.5,20,20,0
733,2020-09-06,48435,6,2,4,12,30,0,0,0
734,2020-09-06,48436,4,5,5,14,35,0,0,0
735,2020-09-06,48437,3,5,7,15,37.5,0,0,0
736,2020-09-06,48438,4,1,6,11,27.5,0,0,0
737,2020-09-06,48439,2,5,10,17,42.5,0,0,30
738,2020-09-06,48440,6,2,5,13,32.5,0,0,0
739,2020-09-06,48441,5,4,9,18,45,0,0,0
740,2020-09-06,48442,4,3,4,11,27.5,0,0,0
741,2020-09-06,48443,6,3,9,18,45,0,0,0
742,2020-09-06,48444,2,0,4,6,15,0,0,0
743,2020-09-06,48445,4,3,13,20,50,0,0,0
744,2020-09-06,48447,3,3,4,10,25,0,0,0
745,2020-09-06,48448,2,1,9,12,30,0,0,0
746,2020-09-06,48449,3,3,5,11,27.5,0,0,0
747,2020-09-06,48450,3,1,6,10,25,0,0,0
748,2020-09-06,47392,3,7,11,21,52.5,100,100,100
749,2020-09-06,47402,9,6,11,26,65,80,80,100
750,2020-09-06,48343,5,6,10,21,52.5,0,0,100
751,2020-09-06,48348,6,4,10,20,50,80,80,100
752,2020-09-06,48353,7,5,13,25,62.5,100,100,30
753,2020-09-06,48369,3,4,10,17,42.5,100,100,100
754,2020-09-06,48399,6,7,12,25,62.5,0,0,100
755,2020-09-06,48404,6,5,11,22,55,100,100,0
756,2020-09-06,48428,3,5,13,21,52.5,20,20,100
