rollno,CourseName,sectioname,AvgTimeSpentInHours
DLPJ0418JA040707,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,28.7
DLPJ0418JA040707,Life Skills,Business Communication - Java Stream,0.7
DLPJ0418JA040707,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040707,Testing Concepts.,DLPJP18JAVAB4_Testing,1.8
DLPJ0418JA040708,IT Foundation Skills,DLPJP18JAVAB4_Foundation,17
DLPJ0418JA040708,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,41.8
DLPJ0418JA040708,Life Skills,Business Communication - Java Stream,2.4
DLPJ0418JA040708,PJP  Webinar,DLPJ0418Java_Webinar,2.4
DLPJ0418JA040708,Testing Concepts.,DLPJP18JAVAB4_Testing,2.2
DLPJ0418JA040709,IT Foundation Skills,DLPJP18JAVAB4_Foundation,10.3
DLPJ0418JA040709,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,21.1
DLPJ0418JA040709,Life Skills,Business Communication - Java Stream,0.3
DLPJ0418JA040709,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040709,Testing Concepts.,DLPJP18JAVAB4_Testing,0.7
DLPJ0418JA040711,IT Foundation Skills,DLPJP18JAVAB4_Foundation,6.5
DLPJ0418JA040711,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,9.6
DLPJ0418JA040711,Life Skills,Business Communication - Java Stream,2.6
DLPJ0418JA040711,Testing Concepts.,DLPJP18JAVAB4_Testing,1.3
DLPJ0418JA040712,IT Foundation Skills,DLPJP18JAVAB4_Foundation,14.4
DLPJ0418JA040712,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,6.7
DLPJ0418JA040712,Life Skills,Business Communication - Java Stream,1.4
DLPJ0418JA040712,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040712,Testing Concepts.,DLPJP18JAVAB4_Testing,0.9
DLPJ0418JA040713,IT Foundation Skills,DLPJP18JAVAB4_Foundation,5.3
DLPJ0418JA040713,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,17.2
DLPJ0418JA040713,Life Skills,Business Communication - Java Stream,0.9
DLPJ0418JA040713,PJP  Webinar,DLPJ0418Java_Webinar,0.3
DLPJ0418JA040713,Testing Concepts.,DLPJP18JAVAB4_Testing,1.1
DLPJ0418JA040714,IT Foundation Skills,DLPJP18JAVAB4_Foundation,11.5
DLPJ0418JA040714,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,5.3
DLPJ0418JA040714,Life Skills,Business Communication - Java Stream,1.7
DLPJ0418JA040714,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040714,Testing Concepts.,DLPJP18JAVAB4_Testing,0.1
DLPJ0418JA040715,IT Foundation Skills,DLPJP18JAVAB4_Foundation,18.4
DLPJ0418JA040715,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,39.2
DLPJ0418JA040715,Life Skills,Business Communication - Java Stream,2.4
DLPJ0418JA040715,PJP  Webinar,DLPJ0418Java_Webinar,0.4
DLPJ0418JA040715,Testing Concepts.,DLPJP18JAVAB4_Testing,1.5
DLPJ0418JA040718,IT Foundation Skills,DLPJP18JAVAB4_Foundation,25.3
DLPJ0418JA040718,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,69
DLPJ0418JA040718,Life Skills,Business Communication - Java Stream,2.8
DLPJ0418JA040718,PJP  Webinar,DLPJ0418Java_Webinar,0.3
DLPJ0418JA040718,Testing Concepts.,DLPJP18JAVAB4_Testing,2.1
DLPJ0418JA040719,IT Foundation Skills,DLPJP18JAVAB4_Foundation,18.2
DLPJ0418JA040719,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,51.9
DLPJ0418JA040719,Life Skills,Business Communication - Java Stream,2.6
DLPJ0418JA040719,PJP  Webinar,DLPJ0418Java_Webinar,1.9
DLPJ0418JA040719,Testing Concepts.,DLPJP18JAVAB4_Testing,3.5
DLPJ0418JA040721,IT Foundation Skills,DLPJP18JAVAB4_Foundation,1.7
DLPJ0418JA040721,Life Skills,Business Communication - Java Stream,1.4
DLPJ0418JA040721,PJP  Webinar,DLPJ0418Java_Webinar,0.2
DLPJ0418JA040722,IT Foundation Skills,DLPJP18JAVAB4_Foundation,5.7
DLPJ0418JA040722,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,9.3
DLPJ0418JA040722,Life Skills,Business Communication - Java Stream,1.6
DLPJ0418JA040722,PJP  Webinar,DLPJ0418Java_Webinar,0.8
DLPJ0418JA040722,Testing Concepts.,DLPJP18JAVAB4_Testing,0.6
DLPJ0418JA040724,IT Foundation Skills,DLPJP18JAVAB4_Foundation,7.8
DLPJ0418JA040724,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,28.6
DLPJ0418JA040724,Life Skills,Business Communication - Java Stream,1.3
DLPJ0418JA040724,PJP  Webinar,DLPJ0418Java_Webinar,0.5
DLPJ0418JA040724,Testing Concepts.,DLPJP18JAVAB4_Testing,2.1
DLPJ0418JA040725,IT Foundation Skills,DLPJP18JAVAB4_Foundation,13.5
DLPJ0418JA040725,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,31.4
DLPJ0418JA040725,Life Skills,Business Communication - Java Stream,1.6
DLPJ0418JA040725,PJP  Webinar,DLPJ0418Java_Webinar,1
DLPJ0418JA040725,Testing Concepts.,DLPJP18JAVAB4_Testing,1.3
DLPJ0418JA040726,IT Foundation Skills,DLPJP18JAVAB4_Foundation,18.7
DLPJ0418JA040726,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,33.4
DLPJ0418JA040726,Life Skills,Business Communication - Java Stream,1.3
DLPJ0418JA040726,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040726,Testing Concepts.,DLPJP18JAVAB4_Testing,4
DLPJ0418JA040727,IT Foundation Skills,DLPJP18JAVAB4_Foundation,2.7
DLPJ0418JA040727,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,1.4
DLPJ0418JA040727,Life Skills,Business Communication - Java Stream,0.9
DLPJ0418JA040727,PJP  Webinar,DLPJ0418Java_Webinar,0.2
DLPJ0418JA040727,Testing Concepts.,DLPJP18JAVAB4_Testing,0.1
DLPJ0418JA040728,IT Foundation Skills,DLPJP18JAVAB4_Foundation,17.8
DLPJ0418JA040728,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,45
DLPJ0418JA040728,Life Skills,Business Communication - Java Stream,0.1
DLPJ0418JA040728,PJP  Webinar,DLPJ0418Java_Webinar,2
DLPJ0418JA040728,Testing Concepts.,DLPJP18JAVAB4_Testing,1.9
DLPJ0418JA040729,IT Foundation Skills,DLPJP18JAVAB4_Foundation,17.1
DLPJ0418JA040729,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,32.1
DLPJ0418JA040729,Life Skills,Business Communication - Java Stream,2.8
DLPJ0418JA040729,PJP  Webinar,DLPJ0418Java_Webinar,0.3
DLPJ0418JA040729,Testing Concepts.,DLPJP18JAVAB4_Testing,4.5
DLPJ0418JA040730,IT Foundation Skills,DLPJP18JAVAB4_Foundation,15.4
DLPJ0418JA040730,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,20.7
DLPJ0418JA040730,Life Skills,Business Communication - Java Stream,1.2
DLPJ0418JA040730,PJP  Webinar,DLPJ0418Java_Webinar,0.2
DLPJ0418JA040730,Testing Concepts.,DLPJP18JAVAB4_Testing,2.5
DLPJ0418JA040732,IT Foundation Skills,DLPJP18JAVAB4_Foundation,18.2
DLPJ0418JA040732,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,47.3
DLPJ0418JA040732,Life Skills,Business Communication - Java Stream,2.7
DLPJ0418JA040732,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040732,Testing Concepts.,DLPJP18JAVAB4_Testing,4.6
DLPJ0418JA040733,IT Foundation Skills,DLPJP18JAVAB4_Foundation,7
DLPJ0418JA040733,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,18.7
DLPJ0418JA040733,Life Skills,Business Communication - Java Stream,2.3
DLPJ0418JA040734,IT Foundation Skills,DLPJP18JAVAB4_Foundation,12.4
DLPJ0418JA040734,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,16.9
DLPJ0418JA040734,Life Skills,Business Communication - Java Stream,1.4
DLPJ0418JA040734,PJP  Webinar,DLPJ0418Java_Webinar,1.1
DLPJ0418JA040734,Testing Concepts.,DLPJP18JAVAB4_Testing,0.9
DLPJ0418JA040735,IT Foundation Skills,DLPJP18JAVAB4_Foundation,20.8
DLPJ0418JA040735,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,20.3
DLPJ0418JA040735,Life Skills,Business Communication - Java Stream,2.3
DLPJ0418JA040735,PJP  Webinar,DLPJ0418Java_Webinar,0.2
DLPJ0418JA040735,Testing Concepts.,DLPJP18JAVAB4_Testing,2.2
DLPJ0418JA040736,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.3
DLPJ0418JA040736,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,44.5
DLPJ0418JA040736,Life Skills,Business Communication - Java Stream,0.4
DLPJ0418JA040736,PJP  Webinar,DLPJ0418Java_Webinar,1.6
DLPJ0418JA040736,Testing Concepts.,DLPJP18JAVAB4_Testing,3.8
DLPJ0418JA040737,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16
DLPJ0418JA040737,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,46.9
DLPJ0418JA040737,Life Skills,Business Communication - Java Stream,2.2
DLPJ0418JA040737,PJP  Webinar,DLPJ0418Java_Webinar,1.1
DLPJ0418JA040737,Testing Concepts.,DLPJP18JAVAB4_Testing,3.3
DLPJ0418JA040738,IT Foundation Skills,DLPJP18JAVAB4_Foundation,17.4
DLPJ0418JA040738,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,40.3
DLPJ0418JA040738,Life Skills,Business Communication - Java Stream,0.5
DLPJ0418JA040738,Testing Concepts.,DLPJP18JAVAB4_Testing,2
DLPJ0418JA040739,IT Foundation Skills,DLPJP18JAVAB4_Foundation,11.7
DLPJ0418JA040739,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,30.4
DLPJ0418JA040739,Life Skills,Business Communication - Java Stream,1.8
DLPJ0418JA040739,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040739,Testing Concepts.,DLPJP18JAVAB4_Testing,1.8
DLPJ0418JA040740,IT Foundation Skills,DLPJP18JAVAB4_Foundation,12.2
DLPJ0418JA040740,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,23.1
DLPJ0418JA040740,Life Skills,Business Communication - Java Stream,1.6
DLPJ0418JA040740,PJP  Webinar,DLPJ0418Java_Webinar,0.3
DLPJ0418JA040740,Testing Concepts.,DLPJP18JAVAB4_Testing,1.8
DLPJ0418JA040741,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.1
DLPJ0418JA040741,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,35.7
DLPJ0418JA040741,Life Skills,Business Communication - Java Stream,3.4
DLPJ0418JA040741,PJP  Webinar,DLPJ0418Java_Webinar,0.5
DLPJ0418JA040741,Testing Concepts.,DLPJP18JAVAB4_Testing,3.3
DLPJ0418JA040742,IT Foundation Skills,DLPJP18JAVAB4_Foundation,5.6
DLPJ0418JA040742,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,19
DLPJ0418JA040742,Life Skills,Business Communication - Java Stream,1.1
DLPJ0418JA040742,PJP  Webinar,DLPJ0418Java_Webinar,1.3
DLPJ0418JA040742,Testing Concepts.,DLPJP18JAVAB4_Testing,2
DLPJ0418JA040744,IT Foundation Skills,DLPJP18JAVAB4_Foundation,25.2
DLPJ0418JA040744,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,38.2
DLPJ0418JA040744,Life Skills,Business Communication - Java Stream,1.7
DLPJ0418JA040744,PJP  Webinar,DLPJ0418Java_Webinar,0.6
DLPJ0418JA040744,Testing Concepts.,DLPJP18JAVAB4_Testing,2.2
DLPJ0418JA040745,IT Foundation Skills,DLPJP18JAVAB4_Foundation,6.7
DLPJ0418JA040745,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,13.6
DLPJ0418JA040745,Life Skills,Business Communication - Java Stream,0.8
DLPJ0418JA040745,Testing Concepts.,DLPJP18JAVAB4_Testing,1.1
DLPJ0418JA040746,IT Foundation Skills,DLPJP18JAVAB4_Foundation,3.2
DLPJ0418JA040746,Life Skills,Business Communication - Java Stream,1.7
DLPJ0418JA040748,IT Foundation Skills,DLPJP18JAVAB4_Foundation,21.8
DLPJ0418JA040748,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,22.7
DLPJ0418JA040748,Life Skills,Business Communication - Java Stream,2.6
DLPJ0418JA040748,PJP  Webinar,DLPJ0418Java_Webinar,1.8
DLPJ0418JA040748,Testing Concepts.,DLPJP18JAVAB4_Testing,5.2
DLPJ0418JA040749,IT Foundation Skills,DLPJP18JAVAB4_Foundation,6.9
DLPJ0418JA040749,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,24.8
DLPJ0418JA040749,Life Skills,Business Communication - Java Stream,0.4
DLPJ0418JA040749,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040749,Testing Concepts.,DLPJP18JAVAB4_Testing,1
DLPJ0418JA040750,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.8
DLPJ0418JA040750,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,24.2
DLPJ0418JA040750,Life Skills,Business Communication - Java Stream,4.3
DLPJ0418JA040750,PJP  Webinar,DLPJ0418Java_Webinar,1
DLPJ0418JA040750,Testing Concepts.,DLPJP18JAVAB4_Testing,3.4
DLPJ0418JA040751,IT Foundation Skills,DLPJP18JAVAB4_Foundation,18.3
DLPJ0418JA040751,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,16.5
DLPJ0418JA040751,Life Skills,Business Communication - Java Stream,2.3
DLPJ0418JA040751,PJP  Webinar,DLPJ0418Java_Webinar,0.6
DLPJ0418JA040751,Testing Concepts.,DLPJP18JAVAB4_Testing,3.1
DLPJ0418JA040752,IT Foundation Skills,DLPJP18JAVAB4_Foundation,3.9
DLPJ0418JA040752,Life Skills,Business Communication - Java Stream,3.2
DLPJ0418JA040752,PJP  Webinar,DLPJ0418Java_Webinar,0.5
DLPJ0418JA040753,IT Foundation Skills,DLPJP18JAVAB4_Foundation,11.5
DLPJ0418JA040753,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,32.2
DLPJ0418JA040753,PJP  Webinar,DLPJ0418Java_Webinar,1.7
DLPJ0418JA040753,Testing Concepts.,DLPJP18JAVAB4_Testing,2.6
DLPJ0418JA040755,IT Foundation Skills,DLPJP18JAVAB4_Foundation,27.6
DLPJ0418JA040755,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,33.7
DLPJ0418JA040755,Life Skills,Business Communication - Java Stream,6.9
DLPJ0418JA040755,PJP  Webinar,DLPJ0418Java_Webinar,1
DLPJ0418JA040755,Testing Concepts.,DLPJP18JAVAB4_Testing,7.3
DLPJ0418JA040756,IT Foundation Skills,DLPJP18JAVAB4_Foundation,12.5
DLPJ0418JA040756,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,14.9
DLPJ0418JA040756,Life Skills,Business Communication - Java Stream,3
DLPJ0418JA040756,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040756,Testing Concepts.,DLPJP18JAVAB4_Testing,0.8
DLPJ0418JA040757,IT Foundation Skills,DLPJP18JAVAB4_Foundation,5.3
DLPJ0418JA040757,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,13.6
DLPJ0418JA040757,Life Skills,Business Communication - Java Stream,0.3
DLPJ0418JA040757,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040757,Testing Concepts.,DLPJP18JAVAB4_Testing,0.1
DLPJ0418JA040758,IT Foundation Skills,DLPJP18JAVAB4_Foundation,13.3
DLPJ0418JA040758,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,1.6
DLPJ0418JA040758,Life Skills,Business Communication - Java Stream,0.5
DLPJ0418JA040758,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040759,IT Foundation Skills,DLPJP18JAVAB4_Foundation,9.6
DLPJ0418JA040759,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,15.5
DLPJ0418JA040759,Life Skills,Business Communication - Java Stream,2
DLPJ0418JA040759,PJP  Webinar,DLPJ0418Java_Webinar,0.3
DLPJ0418JA040759,Testing Concepts.,DLPJP18JAVAB4_Testing,1.8
DLPJ0418JA040761,IT Foundation Skills,DLPJP18JAVAB4_Foundation,21.2
DLPJ0418JA040761,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,26.8
DLPJ0418JA040761,Life Skills,Business Communication - Java Stream,3.5
DLPJ0418JA040761,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040761,Testing Concepts.,DLPJP18JAVAB4_Testing,3.3
DLPJ0418JA040762,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.5
DLPJ0418JA040762,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,7.5
DLPJ0418JA040762,Life Skills,Business Communication - Java Stream,3
DLPJ0418JA040762,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040762,Testing Concepts.,DLPJP18JAVAB4_Testing,1.4
DLPJ0418JA040763,IT Foundation Skills,DLPJP18JAVAB4_Foundation,14.2
DLPJ0418JA040763,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,41.7
DLPJ0418JA040763,Life Skills,Business Communication - Java Stream,0.2
DLPJ0418JA040763,PJP  Webinar,DLPJ0418Java_Webinar,2.5
DLPJ0418JA040763,Testing Concepts.,DLPJP18JAVAB4_Testing,2.6
DLPJ0418JA040764,IT Foundation Skills,DLPJP18JAVAB4_Foundation,11.2
DLPJ0418JA040764,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,20.1
DLPJ0418JA040764,Life Skills,Business Communication - Java Stream,1.6
DLPJ0418JA040764,PJP  Webinar,DLPJ0418Java_Webinar,2.8
DLPJ0418JA040764,Testing Concepts.,DLPJP18JAVAB4_Testing,0.4
DLPJ0418JA040765,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.4
DLPJ0418JA040765,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,8.9
DLPJ0418JA040765,Life Skills,Business Communication - Java Stream,0.2
DLPJ0418JA040765,PJP  Webinar,DLPJ0418Java_Webinar,0.6
DLPJ0418JA040765,Testing Concepts.,DLPJP18JAVAB4_Testing,1.6
DLPJ0418JA040766,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.5
DLPJ0418JA040766,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,34.5
DLPJ0418JA040766,Life Skills,Business Communication - Java Stream,0.4
DLPJ0418JA040766,PJP  Webinar,DLPJ0418Java_Webinar,1.4
DLPJ0418JA040766,Testing Concepts.,DLPJP18JAVAB4_Testing,3.6
DLPJ0418JA040767,IT Foundation Skills,DLPJP18JAVAB4_Foundation,20.9
DLPJ0418JA040767,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,38.2
DLPJ0418JA040767,Life Skills,Business Communication - Java Stream,2.4
DLPJ0418JA040767,PJP  Webinar,DLPJ0418Java_Webinar,0.2
DLPJ0418JA040767,Testing Concepts.,DLPJP18JAVAB4_Testing,1.7
DLPJ0418JA040768,IT Foundation Skills,DLPJP18JAVAB4_Foundation,8.3
DLPJ0418JA040768,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,12.1
DLPJ0418JA040768,Life Skills,Business Communication - Java Stream,0.8
DLPJ0418JA040768,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040768,Testing Concepts.,DLPJP18JAVAB4_Testing,1
DLPJ0418JA040770,IT Foundation Skills,DLPJP18JAVAB4_Foundation,2.5
DLPJ0418JA040770,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,0.6
DLPJ0418JA040770,Life Skills,Business Communication - Java Stream,2.5
DLPJ0418JA040770,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040770,Testing Concepts.,DLPJP18JAVAB4_Testing,0.6
DLPJ0418JA040771,IT Foundation Skills,DLPJP18JAVAB4_Foundation,9.3
DLPJ0418JA040771,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,31.1
DLPJ0418JA040771,Life Skills,Business Communication - Java Stream,2.1
DLPJ0418JA040771,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040771,Testing Concepts.,DLPJP18JAVAB4_Testing,1.8
DLPJ0418JA040772,IT Foundation Skills,DLPJP18JAVAB4_Foundation,11.7
DLPJ0418JA040772,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,39.1
DLPJ0418JA040772,Life Skills,Business Communication - Java Stream,3.6
DLPJ0418JA040772,PJP  Webinar,DLPJ0418Java_Webinar,1.6
DLPJ0418JA040772,Testing Concepts.,DLPJP18JAVAB4_Testing,4.3
DLPJ0418JA040773,IT Foundation Skills,DLPJP18JAVAB4_Foundation,21.8
DLPJ0418JA040773,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,32.5
DLPJ0418JA040773,Life Skills,Business Communication - Java Stream,1.4
DLPJ0418JA040773,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040773,Testing Concepts.,DLPJP18JAVAB4_Testing,2.8
DLPJ0418JA040774,IT Foundation Skills,DLPJP18JAVAB4_Foundation,20.1
DLPJ0418JA040774,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,38.5
DLPJ0418JA040774,Life Skills,Business Communication - Java Stream,3.1
DLPJ0418JA040774,PJP  Webinar,DLPJ0418Java_Webinar,1
DLPJ0418JA040774,Testing Concepts.,DLPJP18JAVAB4_Testing,1.2
DLPJ0418JA040775,IT Foundation Skills,DLPJP18JAVAB4_Foundation,18.9
DLPJ0418JA040775,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,43.8
DLPJ0418JA040775,Life Skills,Business Communication - Java Stream,4.1
DLPJ0418JA040775,PJP  Webinar,DLPJ0418Java_Webinar,0.5
DLPJ0418JA040775,Testing Concepts.,DLPJP18JAVAB4_Testing,5.7
DLPJ0418JA040776,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.9
DLPJ0418JA040776,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,17.6
DLPJ0418JA040776,Life Skills,Business Communication - Java Stream,1.4
DLPJ0418JA040776,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040776,Testing Concepts.,DLPJP18JAVAB4_Testing,0.9
DLPJ0418JA040777,IT Foundation Skills,DLPJP18JAVAB4_Foundation,10.7
DLPJ0418JA040777,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,3.1
DLPJ0418JA040777,Life Skills,Business Communication - Java Stream,1.9
DLPJ0418JA040777,PJP  Webinar,DLPJ0418Java_Webinar,0.4
DLPJ0418JA040777,Testing Concepts.,DLPJP18JAVAB4_Testing,0.8
DLPJ0418JA040778,IT Foundation Skills,DLPJP18JAVAB4_Foundation,7.7
DLPJ0418JA040778,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,12.5
DLPJ0418JA040778,Life Skills,Business Communication - Java Stream,1.6
DLPJ0418JA040778,PJP  Webinar,DLPJ0418Java_Webinar,0.5
DLPJ0418JA040778,Testing Concepts.,DLPJP18JAVAB4_Testing,0.9
DLPJ0418JA040779,IT Foundation Skills,DLPJP18JAVAB4_Foundation,19
DLPJ0418JA040779,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,34.5
DLPJ0418JA040779,Life Skills,Business Communication - Java Stream,1.1
DLPJ0418JA040779,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040779,Testing Concepts.,DLPJP18JAVAB4_Testing,2.1
DLPJ0418JA040780,IT Foundation Skills,DLPJP18JAVAB4_Foundation,7.1
DLPJ0418JA040780,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,21.3
DLPJ0418JA040780,Life Skills,Business Communication - Java Stream,1.2
DLPJ0418JA040780,PJP  Webinar,DLPJ0418Java_Webinar,0.4
DLPJ0418JA040780,Testing Concepts.,DLPJP18JAVAB4_Testing,1.4
DLPJ0418JA040781,IT Foundation Skills,DLPJP18JAVAB4_Foundation,11.6
DLPJ0418JA040781,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,7.5
DLPJ0418JA040781,Life Skills,Business Communication - Java Stream,1.9
DLPJ0418JA040781,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040781,Testing Concepts.,DLPJP18JAVAB4_Testing,0.4
DLPJ0418JA040782,IT Foundation Skills,DLPJP18JAVAB4_Foundation,12.1
DLPJ0418JA040782,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,35.6
DLPJ0418JA040782,Life Skills,Business Communication - Java Stream,1.6
DLPJ0418JA040782,PJP  Webinar,DLPJ0418Java_Webinar,0.3
DLPJ0418JA040782,Testing Concepts.,DLPJP18JAVAB4_Testing,2
DLPJ0418JA040783,IT Foundation Skills,DLPJP18JAVAB4_Foundation,9.3
DLPJ0418JA040783,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,12.6
DLPJ0418JA040783,Life Skills,Business Communication - Java Stream,0
DLPJ0418JA040783,PJP  Webinar,DLPJ0418Java_Webinar,0.4
DLPJ0418JA040784,IT Foundation Skills,DLPJP18JAVAB4_Foundation,1
DLPJ0418JA040784,Life Skills,Business Communication - Java Stream,2
DLPJ0418JA040784,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040785,IT Foundation Skills,DLPJP18JAVAB4_Foundation,28.1
DLPJ0418JA040785,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,28.4
DLPJ0418JA040785,Life Skills,Business Communication - Java Stream,4.6
DLPJ0418JA040785,PJP  Webinar,DLPJ0418Java_Webinar,0.6
DLPJ0418JA040786,IT Foundation Skills,DLPJP18JAVAB4_Foundation,14.4
DLPJ0418JA040786,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,18.3
DLPJ0418JA040786,Life Skills,Business Communication - Java Stream,2.3
DLPJ0418JA040786,PJP  Webinar,DLPJ0418Java_Webinar,1.8
DLPJ0418JA040786,Testing Concepts.,DLPJP18JAVAB4_Testing,3.5
DLPJ0418JA040787,IT Foundation Skills,DLPJP18JAVAB4_Foundation,0.1
DLPJ0418JA040787,Life Skills,Business Communication - Java Stream,2.5
DLPJ0418JA040787,PJP  Webinar,DLPJ0418Java_Webinar,0
DLPJ0418JA040789,IT Foundation Skills,DLPJP18JAVAB4_Foundation,16.1
DLPJ0418JA040789,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,28
DLPJ0418JA040789,Life Skills,Business Communication - Java Stream,3.6
DLPJ0418JA040789,PJP  Webinar,DLPJ0418Java_Webinar,0.1
DLPJ0418JA040789,Testing Concepts.,DLPJP18JAVAB4_Testing,1.2
DLPJ0418JA040790,IT Foundation Skills,DLPJP18JAVAB4_Foundation,10
DLPJ0418JA040790,JAVA - Online,DLPJP18JAVAB4_Java Programming Fundamentals,20.7
